# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpJwhUWQ/standata-1eb05f8d60cb.json
# init = 2 (Default)
# random
#   seed = 525905071
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpJwhUWQ/file1eb055a432dc/reference/.bpcs/bt-202111101022-3-442266.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpJwhUWQ/file1eb055a432dc/reference/.bpcs/bt-profile-202111101022-3-2d2b1d.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.257385
# Diagonal elements of inverse mass matrix:
# 2.05939, 1.85653, 1.83124, 1.93651, 2.0034
-27.9601,0.725491,0.257385,2,3,0,32.7478,1.63199,1.89257,1.48871,1.05808,-0.162821,1.63199,1.89257,1.48871,1.05808,-0.162821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.831904,-0.831904,-0.571319,-0.571319,-0.571319,-0.624072,-0.446813,-0.446813,-0.446813,-1.02072,-1.02072,-1.02072,-0.153716,-0.153716,-0.511466,-0.511466,-0.511466,-0.511466,-0.511466,-0.511466,-0.91533,-0.91533,-0.91533,-0.360535,-0.360535,-0.360535,-0.120484,-0.120484,-0.120484,-0.120484,-0.120484,-0.120484,-0.120484,-2.17588,-0.500837,-0.931463,-0.931463,-0.175428,-0.175428,-0.175428,-1.82696,-1.82696,-0.258482,-0.258482,-0.258482,-1.47939
-28.8547,0.946356,0.257385,3,7,0,30.0225,1.61085,2.13241,0.543389,1.98894,-0.536185,1.61085,2.13241,0.543389,1.98894,-0.536185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.987555,-0.987555,-0.46599,-0.46599,-0.46599,-0.295561,-0.899956,-0.899956,-0.899956,-0.521866,-0.521866,-0.521866,-0.110494,-0.110494,-0.185753,-0.185753,-0.185753,-0.185753,-0.185753,-0.185753,-1.77478,-1.77478,-1.77478,-0.62398,-0.62398,-0.62398,-0.0670503,-0.0670503,-0.0670503,-0.0670503,-0.0670503,-0.0670503,-0.0670503,-2.73565,-1.65712,-0.21157,-0.21157,-0.292476,-0.292476,-0.292476,-1.37205,-1.37205,-0.0770058,-0.0770058,-0.0770058,-2.60213
-27.902,0.999586,0.257385,4,23,0,30.1713,-0.640265,-0.222233,-1.63406,-0.57861,-2.79335,-0.640265,-0.222233,-1.63406,-0.57861,-2.79335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.92385,-0.92385,-0.505818,-0.505818,-0.505818,-0.314934,-0.72445,-0.72445,-0.72445,-0.662795,-0.662795,-0.662795,-0.109863,-0.109863,-0.218089,-0.218089,-0.218089,-0.218089,-0.218089,-0.218089,-1.62992,-1.62992,-1.62992,-0.530751,-0.530751,-0.530751,-0.0736686,-0.0736686,-0.0736686,-0.0736686,-0.0736686,-0.0736686,-0.0736686,-2.64479,-1.3541,-0.298648,-0.298648,-0.272854,-0.272854,-0.272854,-1.43214,-1.43214,-0.103623,-0.103623,-0.103623,-2.31836
-27.0151,1,0.257385,2,3,0,28.1415,-0.34122,-0.352903,-1.26522,-1.28294,-2.15505,-0.34122,-0.352903,-1.26522,-1.28294,-2.15505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.687323,-0.687323,-0.699006,-0.699006,-0.699006,-0.334275,-0.329272,-0.329272,-0.329272,-1.27099,-1.27099,-1.27099,-0.151027,-0.151027,-0.337609,-0.337609,-0.337609,-0.337609,-0.337609,-0.337609,-1.24993,-1.24993,-1.24993,-0.332563,-0.332563,-0.332563,-0.152673,-0.152673,-0.152673,-0.152673,-0.152673,-0.152673,-0.152673,-1.95482,-0.684326,-0.702047,-0.702047,-0.344105,-0.344105,-0.344105,-1.23393,-1.23393,-0.349297,-0.349297,-0.349297,-1.2214
-31.1749,0.587576,0.257385,2,3,0,33.8481,-1.75154,-0.028684,-1.41414,-2.31934,-1.64382,-1.75154,-0.028684,-1.41414,-2.31934,-1.64382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.88714,-1.88714,-0.16429,-0.16429,-0.16429,-0.876009,-0.449015,-0.449015,-0.449015,-1.01682,-1.01682,-1.01682,-0.748455,-0.748455,-0.223311,-0.223311,-0.223311,-0.223311,-0.223311,-0.223311,-1.60877,-1.60877,-1.60877,-0.0964004,-0.0964004,-0.0964004,-0.181374,-0.181374,-0.181374,-0.181374,-0.181374,-0.181374,-0.181374,-1.79651,-0.339653,-1.24485,-1.24485,-0.584886,-0.584886,-0.584886,-0.814568,-0.814568,-1.0869,-1.0869,-1.0869,-0.411375
-27.7112,0.975784,0.257385,2,3,0,32.4585,-0.565309,-0.958268,-1.73132,-1.10447,-2.63002,-0.565309,-0.958268,-1.73132,-1.10447,-2.63002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.515847,-0.515847,-0.908806,-0.908806,-0.908806,-0.271253,-0.459471,-0.459471,-0.459471,-0.998634,-0.998634,-0.998634,-0.11943,-0.11943,-0.379533,-0.379533,-0.379533,-0.379533,-0.379533,-0.379533,-1.15259,-1.15259,-1.15259,-0.622715,-0.622715,-0.622715,-0.172201,-0.172201,-0.172201,-0.172201,-0.172201,-0.172201,-0.172201,-1.84396,-1.05491,-0.428056,-0.428056,-0.341529,-0.341529,-0.341529,-1.24023,-1.24023,-0.196801,-0.196801,-0.196801,-1.72235
