# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpJwhUWQ/standata-1eb016e60fb.json
# init = 2 (Default)
# random
#   seed = 1166407297
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpJwhUWQ/file1eb055a432dc/reference/.bpcs/bt-202111101022-4-569b93.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpJwhUWQ/file1eb055a432dc/reference/.bpcs/bt-profile-202111101022-4-329200.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.23602
# Diagonal elements of inverse mass matrix:
# 2.18272, 2.06659, 2.08776, 2.23848, 2.15491
-30.1552,0.97185,0.23602,3,7,0,31.8976,1.59434,1.57586,0.812554,2.06475,0.963062,1.59434,1.57586,0.812554,2.06475,0.963062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.683953,-0.683953,-0.702426,-0.702426,-0.702426,-0.376785,-0.955765,-0.955765,-0.955765,-0.485349,-0.485349,-0.485349,-0.426518,-0.426518,-0.382621,-0.382621,-0.382621,-0.382621,-0.382621,-0.382621,-1.14593,-1.14593,-1.14593,-0.967175,-0.967175,-0.967175,-0.432971,-0.432971,-0.432971,-0.432971,-0.432971,-0.432971,-0.432971,-1.04577,-1.50364,-0.25144,-0.25144,-0.77123,-0.77123,-0.77123,-0.620722,-0.620722,-0.286914,-0.286914,-0.286914,-1.3886
-27.9429,1,0.23602,3,7,0,30.7496,1.78667,2.64852,0.733901,1.471,0.799252,1.78667,2.64852,0.733901,1.471,0.799252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.21418,-1.21418,-0.35233,-0.35233,-0.35233,-0.299341,-0.547719,-0.547719,-0.547719,-0.863384,-0.863384,-0.863384,-0.316661,-0.316661,-0.137496,-0.137496,-0.137496,-0.137496,-0.137496,-0.137496,-2.05212,-2.05212,-2.05212,-0.268531,-0.268531,-0.268531,-0.146134,-0.146134,-0.146134,-0.146134,-0.146134,-0.146134,-0.146134,-1.99541,-1.12813,-0.391027,-0.391027,-0.726356,-0.726356,-0.726356,-0.661006,-0.661006,-0.412648,-0.412648,-0.412648,-1.0844
-26.7132,0.975155,0.23602,2,7,0,28.6321,1.67727,1.76939,0.798535,1.08736,0.102132,1.67727,1.76939,0.798535,1.08736,0.102132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.740264,-0.740264,-0.648151,-0.648151,-0.648151,-0.347346,-0.441074,-0.441074,-0.441074,-1.03099,-1.03099,-1.03099,-0.18812,-0.18812,-0.321185,-0.321185,-0.321185,-0.321185,-0.321185,-0.321185,-1.29204,-1.29204,-1.29204,-0.409186,-0.409186,-0.409186,-0.172915,-0.172915,-0.172915,-0.172915,-0.172915,-0.172915,-0.172915,-1.84017,-0.847951,-0.559126,-0.559126,-0.404381,-0.404381,-0.404381,-1.10078,-1.10078,-0.317256,-0.317256,-0.317256,-1.30248
-26.5779,0.93016,0.23602,4,23,0,27.9722,-0.571968,-0.0126498,-1.08003,-0.927375,-1.68525,-0.571968,-0.0126498,-1.08003,-0.927375,-1.68525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.01141,-1.01141,-0.452093,-0.452093,-0.452093,-0.47104,-0.53115,-0.53115,-0.53115,-0.886558,-0.886558,-0.886558,-0.284036,-0.284036,-0.295582,-0.295582,-0.295582,-0.295582,-0.295582,-0.295582,-1.36296,-1.36296,-1.36296,-0.33692,-0.33692,-0.33692,-0.172068,-0.172068,-0.172068,-0.172068,-0.172068,-0.172068,-0.172068,-1.84466,-0.772385,-0.619729,-0.619729,-0.435643,-0.435643,-0.435643,-1.04086,-1.04086,-0.384353,-0.384353,-0.384353,-1.14222
-29.3346,0.705455,0.23602,3,15,0,31.5172,-1.00766,-1.5434,-1.85338,-2.11811,-3.20781,-1.00766,-1.5434,-1.85338,-2.11811,-3.20781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.460737,-0.460737,-0.996468,-0.996468,-0.996468,-0.357151,-0.284737,-0.284737,-0.284737,-1.39518,-1.39518,-1.39518,-0.105069,-0.105069,-0.55012,-0.55012,-0.55012,-0.55012,-0.55012,-0.55012,-0.860101,-0.860101,-0.860101,-0.446521,-0.446521,-0.446521,-0.173367,-0.173367,-0.173367,-0.173367,-0.173367,-0.173367,-0.173367,-1.83778,-0.569515,-0.83425,-0.83425,-0.229598,-0.229598,-0.229598,-1.58403,-1.58403,-0.289919,-0.289919,-0.289919,-1.37961
-35.3093,0.654368,0.23602,2,3,0,37.9083,-2.27645,-0.367859,-2.58185,-1.50264,-1.27352,-2.27645,-0.367859,-2.58185,-1.50264,-1.27352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.04687,-2.04687,-0.138273,-0.138273,-0.138273,-0.55206,-1.15311,-1.15311,-1.15311,-0.379293,-0.379293,-0.379293,-1.31541,-1.31541,-0.103696,-0.103696,-0.103696,-0.103696,-0.103696,-0.103696,-2.31769,-2.31769,-2.31769,-0.278762,-0.278762,-0.278762,-0.339521,-0.339521,-0.339521,-0.339521,-0.339521,-0.339521,-0.339521,-1.24518,-1.37178,-0.292567,-0.292567,-1.54756,-1.54756,-1.54756,-0.239229,-0.239229,-0.814256,-0.814256,-0.814256,-0.585134
