# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpJwhUWQ/standata-1eb016a0676e.json
# init = 2 (Default)
# random
#   seed = 1064546793
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpJwhUWQ/file1eb055a432dc/reference/.bpcs/bt-202111101022-4-6f8b3c.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmpJwhUWQ/file1eb055a432dc/reference/.bpcs/bt-profile-202111101022-4-8fbce5.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.246464
# Diagonal elements of inverse mass matrix:
# 2.21568, 2.22214, 2.19666, 2.20824, 2.204
-28.4542,0.982552,0.246464,4,19,0,30.924,1.04446,1.3334,-0.600511,0.978307,-1.43433,1.04446,1.3334,-0.600511,0.978307,-1.43433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.848018,-0.848018,-0.559076,-0.559076,-0.559076,-0.176486,-0.660618,-0.660618,-0.660618,-0.72677,-0.72677,-0.72677,-0.0805143,-0.0805143,-0.135039,-0.135039,-0.135039,-0.135039,-0.135039,-0.135039,-2.06895,-2.06895,-2.06895,-0.531279,-0.531279,-0.531279,-0.0609108,-0.0609108,-0.0609108,-0.0609108,-0.0609108,-0.0609108,-0.0609108,-2.82865,-1.76631,-0.18749,-0.18749,-0.360737,-0.360737,-0.360737,-1.19456,-1.19456,-0.0857908,-0.0857908,-0.0857908,-2.49843
-31.0979,0.874184,0.246464,3,15,0,34.2053,-0.905269,0.280528,0.327623,-1.1617,-1.2601,-0.905269,0.280528,0.327623,-1.1617,-1.2601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.45238,-1.45238,-0.266588,-0.266588,-0.266588,-1.48866,-0.573128,-0.573128,-0.573128,-0.829561,-0.829561,-0.829561,-0.531387,-0.531387,-0.716972,-0.716972,-0.716972,-0.716972,-0.716972,-0.716972,-0.669877,-0.669877,-0.669877,-0.212204,-0.212204,-0.212204,-0.194124,-0.194124,-0.194124,-0.194124,-0.194124,-0.194124,-0.194124,-1.73475,-0.203369,-1.69269,-1.69269,-0.185973,-0.185973,-0.185973,-1.7737,-1.7737,-0.645157,-0.645157,-0.645157,-0.743557
-28.3739,0.991544,0.246464,2,3,0,32.5589,0.120147,0.679416,-1.28981,-0.741701,-0.842421,0.120147,0.679416,-1.28981,-0.741701,-0.842421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.01138,-1.01138,-0.452111,-0.452111,-0.452111,-0.218456,-0.352332,-0.352332,-0.352332,-1.21418,-1.21418,-1.21418,-0.323467,-0.323467,-0.130647,-0.130647,-0.130647,-0.130647,-0.130647,-0.130647,-2.09987,-2.09987,-2.09987,-0.216275,-0.216275,-0.216275,-0.197465,-0.197465,-0.197465,-0.197465,-0.197465,-0.197465,-0.197465,-1.7193,-1.00429,-0.456185,-0.456185,-0.941654,-0.941654,-0.941654,-0.494267,-0.494267,-0.644055,-0.644055,-0.644055,-0.744775
-29.018,0.994483,0.246464,3,7,0,29.486,-0.0602833,-0.188299,-0.576549,-0.261932,-2.6161,-0.0602833,-0.188299,-0.576549,-0.261932,-2.6161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.631186,-0.631186,-0.759202,-0.759202,-0.759202,-0.467967,-0.597397,-0.597397,-0.597397,-0.799046,-0.799046,-0.799046,-0.0747631,-0.0747631,-0.517747,-0.517747,-0.517747,-0.517747,-0.517747,-0.517747,-0.905997,-0.905997,-0.905997,-0.657008,-0.657008,-0.657008,-0.0845531,-0.0845531,-0.0845531,-0.0845531,-0.0845531,-0.0845531,-0.0845531,-2.51235,-0.862778,-0.548161,-0.548161,-0.122295,-0.122295,-0.122295,-2.16185,-2.16185,-0.0907293,-0.0907293,-0.0907293,-2.4449
-29.7674,0.997571,0.246464,4,23,0,31.2473,3.26017,3.76021,1.83225,2.33254,2.06334,3.26017,3.76021,1.83225,2.33254,2.06334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.974101,-0.974101,-0.474063,-0.474063,-0.474063,-0.214955,-0.333244,-0.333244,-0.333244,-1.26088,-1.26088,-1.26088,-0.264017,-0.264017,-0.135792,-0.135792,-0.135792,-0.135792,-0.135792,-0.135792,-2.06376,-2.06376,-2.06376,-0.215003,-0.215003,-0.215003,-0.168271,-0.168271,-0.168271,-0.168271,-0.168271,-0.168271,-0.168271,-1.86514,-0.974258,-0.473967,-0.473967,-0.815357,-0.815357,-0.815357,-0.584259,-0.584259,-0.567582,-0.567582,-0.567582,-0.836774
-29.5882,0.840773,0.246464,3,7,0,32.511,3.07222,3.25586,2.8041,2.11533,1.17991,3.07222,3.25586,2.8041,2.11533,1.17991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.789179,-0.789179,-0.605535,-0.605535,-0.605535,-0.568048,-0.32504,-0.32504,-0.32504,-1.28193,-1.28193,-1.28193,-0.140391,-0.140391,-0.492564,-0.492564,-0.492564,-0.492564,-0.492564,-0.492564,-0.944324,-0.944324,-0.944324,-0.277365,-0.277365,-0.277365,-0.118172,-0.118172,-0.118172,-0.118172,-0.118172,-0.118172,-0.118172,-2.19412,-0.406925,-1.0957,-1.0957,-0.179878,-0.179878,-0.179878,-1.80407,-1.80407,-0.331045,-0.331045,-0.331045,-1.26646
-28.6449,0.935946,0.246464,4,31,0,31.3051,-0.956145,0.474802,-1.68093,-0.672894,-1.77641,-0.956145,0.474802,-1.68093,-0.672894,-1.77641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.64532,-1.64532,-0.214371,-0.214371,-0.214371,-0.395029,-0.844768,-0.844768,-0.844768,-0.561518,-0.561518,-0.561518,-0.364863,-0.364863,-0.109588,-0.109588,-0.109588,-0.109588,-0.109588,-0.109588,-2.26532,-2.26532,-2.26532,-0.275635,-0.275635,-0.275635,-0.100091,-0.100091,-0.100091,-0.100091,-0.100091,-0.100091,-0.100091,-2.3513,-1.31914,-0.311106,-0.311106,-0.64655,-0.64655,-0.64655,-0.742022,-0.742022,-0.28646,-0.28646,-0.28646,-1.38997
-27.2719,0.94316,0.246464,3,7,0,30.6725,-0.241824,0.0621428,-0.5957,-1.0972,-1.81225,-0.241824,0.0621428,-0.5957,-1.0972,-1.81225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.856636,-0.856636,-0.552669,-0.552669,-0.552669,-0.531782,-0.35426,-0.35426,-0.35426,-1.20963,-1.20963,-1.20963,-0.188931,-0.188931,-0.417372,-0.417372,-0.417372,-0.417372,-0.417372,-0.417372,-1.07521,-1.07521,-1.07521,-0.272843,-0.272843,-0.272843,-0.142756,-0.142756,-0.142756,-0.142756,-0.142756,-0.142756,-0.142756,-2.01715,-0.473513,-0.975008,-0.975008,-0.259476,-0.259476,-0.259476,-1.47602,-1.47602,-0.398217,-0.398217,-0.398217,-1.11327
