# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmphHd10I/standata-1af428f5e874.json
# init = 2 (Default)
# random
#   seed = 1669462462
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmphHd10I/file1af43d990293/reference/.bpcs/bt-202111110634-1-2c56de.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmphHd10I/file1af43d990293/reference/.bpcs/bt-profile-202111110634-1-679e30.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.305444
# Diagonal elements of inverse mass matrix:
# 1.52067, 1.44669, 1.50818, 1.55377, 1.55106
-27.0519,0.949802,0.305444,3,7,0,28.0156,1.35191,1.86781,0.214963,0.369433,-0.291539,1.35191,1.86781,0.214963,0.369433,-0.291539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.984007,-0.984007,-0.468102,-0.468102,-0.468102,-0.278236,-0.318006,-0.318006,-0.318006,-1.30048,-1.30048,-1.30048,-0.176733,-0.176733,-0.175216,-0.175216,-0.175216,-0.175216,-0.175216,-0.175216,-1.82806,-1.82806,-1.82806,-0.201709,-0.201709,-0.201709,-0.109213,-0.109213,-0.109213,-0.109213,-0.109213,-0.109213,-0.109213,-2.26856,-0.773362,-0.618892,-0.618892,-0.471627,-0.471627,-0.471627,-0.97813,-0.97813,-0.416305,-0.416305,-0.416305,-1.07728
-27.5964,0.924894,0.305444,2,3,0,28.3179,1.13305,1.41201,0.409203,0.11517,0.0859134,1.13305,1.41201,0.409203,0.11517,0.0859134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.842322,-0.842322,-0.563364,-0.563364,-0.563364,-0.395337,-0.308485,-0.308485,-0.308485,-1.32636,-1.32636,-1.32636,-0.300802,-0.300802,-0.312508,-0.312508,-0.312508,-0.312508,-0.312508,-0.312508,-1.31531,-1.31531,-1.31531,-0.241687,-0.241687,-0.241687,-0.235477,-0.235477,-0.235477,-0.235477,-0.235477,-0.235477,-0.235477,-1.56157,-0.556899,-0.850932,-0.850932,-0.54451,-0.54451,-0.54451,-0.8678,-0.8678,-0.678626,-0.678626,-0.678626,-0.707882
-28.7336,0.901997,0.305444,4,19,0,30.545,-1.52579,-0.52818,-1.8011,-1.19578,-3.30816,-1.52579,-0.52818,-1.8011,-1.19578,-3.30816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.31151,-1.31151,-0.313905,-0.313905,-0.313905,-0.564937,-0.871705,-0.871705,-0.871705,-0.541694,-0.541694,-0.541694,-0.155498,-0.155498,-0.24687,-0.24687,-0.24687,-0.24687,-0.24687,-0.24687,-1.51979,-1.51979,-1.51979,-0.414054,-0.414054,-0.414054,-0.0601915,-0.0601915,-0.0601915,-0.0601915,-0.0601915,-0.0601915,-0.0601915,-2.84017,-1.04093,-0.435606,-0.435606,-0.20013,-0.20013,-0.20013,-1.70719,-1.70719,-0.114177,-0.114177,-0.114177,-2.22655
-27.8362,0.875329,0.305444,4,19,0,32.4322,2.48448,3.12593,1.45133,1.66793,0.661264,2.48448,3.12593,1.45133,1.66793,0.661264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.06445,-1.06445,-0.422996,-0.422996,-0.422996,-0.304456,-0.366,-0.366,-0.366,-1.18255,-1.18255,-1.18255,-0.149718,-0.149718,-0.171753,-0.171753,-0.171753,-0.171753,-0.171753,-0.171753,-1.84634,-1.84634,-1.84634,-0.209208,-0.209208,-0.209208,-0.0816146,-0.0816146,-0.0816146,-0.0816146,-0.0816146,-0.0816146,-0.0816146,-2.54628,-0.807297,-0.590703,-0.590703,-0.37419,-0.37419,-0.37419,-1.16426,-1.16426,-0.311474,-0.311474,-0.311474,-1.31814
-29.8281,0.921714,0.305444,3,7,0,30.3979,2.59613,3.72843,2.19626,3.11682,1.14354,2.59613,3.72843,2.19626,3.11682,1.14354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.41167,-1.41167,-0.279366,-0.279366,-0.279366,-0.513068,-0.987007,-0.987007,-0.987007,-0.466315,-0.466315,-0.466315,-0.210232,-0.210232,-0.195621,-0.195621,-0.195621,-0.195621,-0.195621,-0.195621,-1.72779,-1.72779,-1.72779,-0.433389,-0.433389,-0.433389,-0.0726969,-0.0726969,-0.0726969,-0.0726969,-0.0726969,-0.0726969,-0.0726969,-2.65758,-1.25581,-0.335254,-0.335254,-0.299355,-0.299355,-0.299355,-1.35207,-1.35207,-0.130151,-0.130151,-0.130151,-2.10343
-29.6683,0.987814,0.305444,3,7,0,31.4254,3.48939,3.37283,2.46541,2.11438,1.88443,3.48939,3.37283,2.46541,2.11438,1.88443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.636568,-0.636568,-0.75312,-0.75312,-0.75312,-0.30687,-0.225412,-0.225412,-0.225412,-1.60042,-1.60042,-1.60042,-0.18307,-0.18307,-0.339014,-0.339014,-0.339014,-0.339014,-0.339014,-0.339014,-1.24644,-1.24644,-1.24644,-0.250053,-0.250053,-0.250053,-0.203538,-0.203538,-0.203538,-0.203538,-0.203538,-0.203538,-0.203538,-1.69194,-0.532957,-0.883986,-0.883986,-0.444268,-0.444268,-0.444268,-1.02525,-1.02525,-0.584766,-0.584766,-0.584766,-0.814719
