# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmphHd10I/standata-1af430fd0e31.json
# init = 2 (Default)
# random
#   seed = 327235529
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmphHd10I/file1af43d990293/reference/.bpcs/bt-202111110635-1-134f36.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmphHd10I/file1af43d990293/reference/.bpcs/bt-profile-202111110635-1-8f418a.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.289866
# Diagonal elements of inverse mass matrix:
# 1.71258, 1.75796, 1.84828, 1.66899, 1.77602
-26.9224,0.857777,0.289866,2,3,0,28.3183,0.626864,0.356163,-0.425125,-0.1665,-1.42932,0.626864,0.356163,-0.425125,-0.1665,-1.42932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.566929,-0.566929,-0.837629,-0.837629,-0.837629,-0.299543,-0.373163,-0.373163,-0.373163,-1.16653,-1.16653,-1.16653,-0.120394,-0.120394,-0.376939,-0.376939,-0.376939,-0.376939,-0.376939,-0.376939,-1.15823,-1.15823,-1.15823,-0.465581,-0.465581,-0.465581,-0.15505,-0.15505,-0.15505,-0.15505,-0.15505,-0.15505,-0.15505,-1.94053,-0.830797,-0.572172,-0.572172,-0.312136,-0.312136,-0.312136,-1.31633,-1.31633,-0.249089,-0.249089,-0.249089,-1.51191
-27.1172,0.985845,0.289866,3,7,0,27.6613,-0.558009,0.189937,-0.525588,-0.580685,-1.852,-0.558009,0.189937,-0.525588,-0.580685,-1.852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.13548,-1.13548,-0.38753,-0.38753,-0.38753,-0.709489,-0.681874,-0.681874,-0.681874,-0.704549,-0.704549,-0.704549,-0.242299,-0.242299,-0.398061,-0.398061,-0.398061,-0.398061,-0.398061,-0.398061,-1.11359,-1.11359,-1.11359,-0.380301,-0.380301,-0.380301,-0.122021,-0.122021,-0.122021,-0.122021,-0.122021,-0.122021,-0.122021,-2.16395,-0.665978,-0.721075,-0.721075,-0.235411,-0.235411,-0.235411,-1.56182,-1.56182,-0.247222,-0.247222,-0.247222,-1.51853
-29.6409,0.788122,0.289866,2,3,0,30.0824,-1.16657,0.9409,-0.452119,-1.0205,-1.53083,-1.16657,0.9409,-0.452119,-1.0205,-1.53083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.22218,-2.22218,-0.114707,-0.114707,-0.114707,-1.11287,-0.76885,-0.76885,-0.76885,-0.622774,-0.622774,-0.622774,-0.527513,-0.527513,-0.221802,-0.221802,-0.221802,-0.221802,-0.221802,-0.221802,-1.61482,-1.61482,-1.61482,-0.131609,-0.131609,-0.131609,-0.0810626,-0.0810626,-0.0810626,-0.0810626,-0.0810626,-0.0810626,-0.0810626,-2.55279,-0.448808,-1.01718,-1.01718,-0.292695,-0.292695,-0.292695,-1.37141,-1.37141,-0.470188,-0.470188,-0.470188,-0.980522
-28.3245,1,0.289866,3,7,0,30.2938,0.803091,0.14654,-1.36978,0.0294375,-1.45841,0.803091,0.14654,-1.36978,0.0294375,-1.45841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.417813,-0.417813,-1.07436,-1.07436,-1.07436,-0.107823,-0.379343,-0.379343,-0.379343,-1.153,-1.153,-1.153,-0.099116,-0.099116,-0.198456,-0.198456,-0.198456,-0.198456,-0.198456,-0.198456,-1.71478,-1.71478,-1.71478,-0.636309,-0.636309,-0.636309,-0.183072,-0.183072,-0.183072,-0.183072,-0.183072,-0.183072,-0.183072,-1.78802,-1.61979,-0.220572,-0.220572,-0.649815,-0.649815,-0.649815,-0.738442,-0.738442,-0.203642,-0.203642,-0.203642,-1.69149
-27.3972,0.979684,0.289866,3,7,0,29.6747,0.262355,0.0583334,-1.57908,-0.626048,-2.02644,0.262355,0.0583334,-1.57908,-0.626048,-2.02644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.59633,-0.59633,-0.800352,-0.800352,-0.800352,-0.147204,-0.34452,-0.34452,-0.34452,-1.23292,-1.23292,-1.23292,-0.0965713,-0.0965713,-0.177714,-0.177714,-0.177714,-0.177714,-0.177714,-0.177714,-1.81512,-1.81512,-1.81512,-0.408396,-0.408396,-0.408396,-0.117192,-0.117192,-0.117192,-0.117192,-0.117192,-0.117192,-0.117192,-2.20197,-1.27914,-0.326113,-0.326113,-0.494274,-0.494274,-0.494274,-0.941643,-0.941643,-0.220339,-0.220339,-0.220339,-1.62074
-29.8421,0.751187,0.289866,3,11,0,31.6301,-2.06386,-0.0862724,-2.06485,-1.72768,-2.60345,-2.06386,-0.0862724,-2.06485,-1.72768,-2.60345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.10721,-2.10721,-0.129627,-0.129627,-0.129627,-0.692653,-0.875294,-0.875294,-0.875294,-0.539121,-0.539121,-0.539121,-0.459314,-0.459314,-0.129506,-0.129506,-0.129506,-0.129506,-0.129506,-0.129506,-2.10808,-2.10808,-2.10808,-0.177063,-0.177063,-0.177063,-0.0775973,-0.0775973,-0.0775973,-0.0775973,-0.0775973,-0.0775973,-0.0775973,-2.59477,-0.875871,-0.53871,-0.53871,-0.459678,-0.459678,-0.459678,-0.998279,-0.998279,-0.348221,-0.348221,-0.348221,-1.22398
-31.2217,0.985858,0.289866,3,7,0,31.4165,-0.78332,-0.0544884,-2.72347,-1.23603,-3.79887,-0.78332,-0.0544884,-2.72347,-1.23603,-3.79887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.12254,-1.12254,-0.393711,-0.393711,-0.393711,-0.134253,-0.492195,-0.492195,-0.492195,-0.944904,-0.944904,-0.944904,-0.0478553,-0.0478553,-0.0670254,-0.0670254,-0.0670254,-0.0670254,-0.0670254,-0.0670254,-2.73601,-2.73601,-2.73601,-0.267586,-0.267586,-0.267586,-0.0233749,-0.0233749,-0.0233749,-0.0233749,-0.0233749,-0.0233749,-0.0233749,-3.76776,-1.69116,-0.203716,-0.203716,-0.293536,-0.293536,-0.293536,-1.36893,-1.36893,-0.0742587,-0.0742587,-0.0742587,-2.6371
-31.1975,0.931364,0.289866,2,7,0,33.8932,-1.0619,-1.7766,-2.20347,-1.27453,-2.0984,-1.0619,-1.7766,-2.20347,-1.27453,-2.0984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.398335,-0.398335,-1.11303,-1.11303,-1.11303,-0.277116,-0.592475,-0.592475,-0.592475,-0.805101,-0.805101,-0.805101,-0.303577,-0.303577,-0.502318,-0.502318,-0.502318,-0.502318,-0.502318,-0.502318,-0.929189,-0.929189,-0.929189,-0.975363,-0.975363,-0.975363,-0.545135,-0.545135,-0.545135,-0.545135,-0.545135,-0.545135,-0.545135,-0.866937,-1.26181,-0.332876,-0.332876,-0.747061,-0.747061,-0.747061,-0.641992,-0.641992,-0.363762,-0.363762,-0.363762,-1.18763
-27.7132,0.981373,0.289866,3,7,0,32.0236,-1.67652,-0.927991,-2.22859,-1.50658,-2.57713,-1.67652,-0.927991,-2.22859,-1.50658,-2.57713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.13587,-1.13587,-0.387343,-0.387343,-0.387343,-0.454737,-0.781724,-0.781724,-0.781724,-0.611781,-0.611781,-0.611781,-0.340977,-0.340977,-0.240881,-0.240881,-0.240881,-0.240881,-0.240881,-0.240881,-1.54148,-1.54148,-1.54148,-0.445129,-0.445129,-0.445129,-0.175813,-0.175813,-0.175813,-0.175813,-0.175813,-0.175813,-0.175813,-1.82495,-1.11795,-0.395937,-0.395937,-0.533984,-0.533984,-0.533984,-0.882529,-0.882529,-0.294771,-0.294771,-0.294771,-1.36532
