# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmphHd10I/standata-1af46a6363e3.json
# init = 2 (Default)
# random
#   seed = 1721054867
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmphHd10I/file1af43d990293/reference/.bpcs/bt-202111110635-1-669bd8.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmphHd10I/file1af43d990293/reference/.bpcs/bt-profile-202111110635-1-090c91.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.262381
# Diagonal elements of inverse mass matrix:
# 2.11227, 2.07231, 2.02877, 1.93245, 2.05764
-30.3194,0.770648,0.262381,3,7,0,33.1332,0.0549788,0.852122,-1.7366,-1.52111,-1.60248,0.0549788,0.852122,-1.7366,-1.52111,-1.60248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.16913,-1.16913,-0.371987,-0.371987,-0.371987,-0.154177,-0.187958,-0.187958,-0.187958,-1.76404,-1.76404,-1.76404,-0.174477,-0.174477,-0.0724288,-0.0724288,-0.0724288,-0.0724288,-0.0724288,-0.0724288,-2.66115,-2.66115,-2.66115,-0.0890903,-0.0890903,-0.0890903,-0.0824071,-0.0824071,-0.0824071,-0.0824071,-0.0824071,-0.0824071,-0.0824071,-2.537,-0.806685,-0.591196,-0.591196,-0.762454,-0.762454,-0.762454,-0.628334,-0.628334,-0.65329,-0.65329,-0.65329,-0.734659
-29.7213,0.905715,0.262381,3,7,0,33.354,-1.29969,0.536496,-1.2974,-1.66822,-1.57912,-1.29969,0.536496,-1.2974,-1.66822,-1.57912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.98411,-1.98411,-0.147924,-0.147924,-0.147924,-0.694292,-0.525763,-0.525763,-0.525763,-0.894295,-0.894295,-0.894295,-0.563159,-0.563159,-0.148239,-0.148239,-0.148239,-0.148239,-0.148239,-0.148239,-1.98213,-1.98213,-1.98213,-0.104614,-0.104614,-0.104614,-0.113828,-0.113828,-0.113828,-0.113828,-0.113828,-0.113828,-0.113828,-2.22944,-0.524828,-0.895648,-0.895648,-0.562174,-0.562174,-0.562174,-0.843897,-0.843897,-0.738687,-0.738687,-0.738687,-0.649591
-30.989,0.965912,0.262381,2,3,0,32.0759,-1.69551,0.739996,-0.882313,-1.38684,-1.61133,-1.69551,0.739996,-0.882313,-1.38684,-1.61133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.51944,-2.51944,-0.0839307,-0.0839307,-0.0839307,-1.18022,-0.859344,-0.859344,-0.859344,-0.550676,-0.550676,-0.550676,-0.736123,-0.736123,-0.180188,-0.180188,-0.180188,-0.180188,-0.180188,-0.180188,-1.8025,-1.8025,-1.8025,-0.112626,-0.112626,-0.112626,-0.0909762,-0.0909762,-0.0909762,-0.0909762,-0.0909762,-0.0909762,-0.0909762,-2.4423,-0.47237,-0.976898,-0.976898,-0.393651,-0.393651,-0.393651,-1.12267,-1.12267,-0.587189,-0.587189,-0.587189,-0.811677
-29.5874,0.973948,0.262381,2,3,0,32.3676,-1.04965,0.488731,-0.793132,-1.8462,-1.72611,-1.04965,0.488731,-0.793132,-1.8462,-1.72611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73291,-1.73291,-0.19452,-0.19452,-0.19452,-0.829611,-0.372174,-0.372174,-0.372174,-1.16872,-1.16872,-1.16872,-0.411059,-0.411059,-0.24492,-0.24492,-0.24492,-0.24492,-0.24492,-0.24492,-1.52678,-1.52678,-1.52678,-0.0924127,-0.0924127,-0.0924127,-0.103612,-0.103612,-0.103612,-0.103612,-0.103612,-0.103612,-0.103612,-2.31846,-0.299265,-1.35233,-1.35233,-0.331732,-0.331732,-0.331732,-1.26471,-1.26471,-0.754991,-0.754991,-0.754991,-0.634907
-29.4066,0.943028,0.262381,3,15,0,34.314,-0.602042,-0.908735,-2.61937,-1.89368,-2.21297,-0.602042,-0.908735,-2.61937,-1.89368,-2.21297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.551513,-0.551513,-0.858205,-0.858205,-0.858205,-0.124878,-0.242806,-0.242806,-0.242806,-1.53444,-1.53444,-1.53444,-0.182073,-0.182073,-0.16615,-0.16615,-0.16615,-0.16615,-0.16615,-0.16615,-1.87679,-1.87679,-1.87679,-0.317333,-0.317333,-0.317333,-0.240102,-0.240102,-0.240102,-0.240102,-0.240102,-0.240102,-0.240102,-1.54434,-1.12043,-0.394733,-0.394733,-0.91685,-0.91685,-0.91685,-0.510453,-0.510453,-0.546189,-0.546189,-0.546189,-0.865486
-29.2608,0.96162,0.262381,3,15,0,31.8298,-1.72192,-0.611101,-2.81781,-1.94532,-3.54928,-1.72192,-0.611101,-2.81781,-1.94532,-3.54928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.39546,-1.39546,-0.284645,-0.284645,-0.284645,-0.288362,-0.587672,-0.587672,-0.587672,-0.811073,-0.811073,-0.811073,-0.149141,-0.149141,-0.104416,-0.104416,-0.104416,-0.104416,-0.104416,-0.104416,-2.31113,-2.31113,-2.31113,-0.233778,-0.233778,-0.233778,-0.0516072,-0.0516072,-0.0516072,-0.0516072,-0.0516072,-0.0516072,-0.0516072,-2.98979,-1.22168,-0.349182,-0.349182,-0.392854,-0.392854,-0.392854,-1.12432,-1.12432,-0.183236,-0.183236,-0.183236,-1.7872
