# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmphHd10I/standata-1af419a273b5.json
# init = 2 (Default)
# random
#   seed = 366074668
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmphHd10I/file1af43d990293/reference/.bpcs/bt-202111110635-2-0bda1d.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmphHd10I/file1af43d990293/reference/.bpcs/bt-profile-202111110635-2-823d34.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.292724
# Diagonal elements of inverse mass matrix:
# 1.66736, 1.57584, 1.54666, 1.54226, 1.62233
-28.5179,0.801324,0.292724,3,7,0,32.3304,-0.120985,0.0672396,-1.56818,-0.200015,-2.72941,-0.120985,0.0672396,-1.56818,-0.200015,-2.72941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.791682,-0.791682,-0.603457,-0.603457,-0.603457,-0.211257,-0.654413,-0.654413,-0.654413,-0.733443,-0.733443,-0.733443,-0.0710642,-0.0710642,-0.178038,-0.178038,-0.178038,-0.178038,-0.178038,-0.178038,-1.81346,-1.81346,-1.81346,-0.568421,-0.568421,-0.568421,-0.059225,-0.059225,-0.059225,-0.059225,-0.059225,-0.059225,-0.059225,-2.85588,-1.59496,-0.226796,-0.226796,-0.27239,-0.27239,-0.27239,-1.43363,-1.43363,-0.0766896,-0.0766896,-0.0766896,-2.60609
-28.8663,0.972339,0.292724,3,7,0,30.075,0.301198,-0.45915,-1.48942,-0.0171097,-2.04879,0.301198,-0.45915,-1.48942,-0.0171097,-2.04879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.383563,-0.383563,-1.14391,-1.14391,-1.14391,-0.154314,-0.546605,-0.546605,-0.546605,-0.864913,-0.864913,-0.864913,-0.0910926,-0.0910926,-0.305211,-0.305211,-0.305211,-0.305211,-0.305211,-0.305211,-1.33548,-1.33548,-1.33548,-0.938396,-0.938396,-0.938396,-0.185649,-0.185649,-0.185649,-0.185649,-0.185649,-0.185649,-0.185649,-1.77529,-1.67883,-0.206522,-0.206522,-0.452074,-0.452074,-0.452074,-1.01144,-1.01144,-0.123204,-0.123204,-0.123204,-2.15488
-29.0463,0.928538,0.292724,4,23,0,31.4492,2.12164,2.65732,0.221175,1.81456,0.228949,2.12164,2.65732,0.221175,1.81456,0.228949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.996438,-0.996438,-0.460754,-0.460754,-0.460754,-0.139326,-0.551347,-0.551347,-0.551347,-0.85843,-0.85843,-0.85843,-0.140341,-0.140341,-0.0838788,-0.0838788,-0.0838788,-0.0838788,-0.0838788,-0.0838788,-2.52003,-2.52003,-2.52003,-0.358036,-0.358036,-0.358036,-0.0845065,-0.0845065,-0.0845065,-0.0845065,-0.0845065,-0.0845065,-0.0845065,-2.51288,-1.7784,-0.185015,-0.185015,-0.697042,-0.697042,-0.697042,-0.689268,-0.689268,-0.186333,-0.186333,-0.186333,-1.77194
-30.0781,0.922104,0.292724,3,15,0,32.0779,2.61899,1.5881,0.712663,0.992908,-0.848716,2.61899,1.5881,0.712663,0.992908,-0.848716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.305048,-0.305048,-1.33594,-1.33594,-1.33594,-0.138566,-0.179567,-0.179567,-0.179567,-1.80565,-1.80565,-1.80565,-0.0307121,-0.0307121,-0.348316,-0.348316,-0.348316,-0.348316,-0.348316,-0.348316,-1.22375,-1.22375,-1.22375,-0.439194,-0.439194,-0.439194,-0.0838253,-0.0838253,-0.0838253,-0.0838253,-0.0838253,-0.0838253,-0.0838253,-2.52064,-0.843055,-0.56281,-0.56281,-0.190494,-0.190494,-0.190494,-1.75187,-1.75187,-0.147178,-0.147178,-0.147178,-1.9888
-30.8442,0.826159,0.292724,2,3,0,33.2898,2.77899,1.43216,0.667552,0.720124,-0.509104,2.77899,1.43216,0.667552,0.720124,-0.509104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.231162,-0.231162,-1.57799,-1.57799,-1.57799,-0.114278,-0.12009,-0.12009,-0.12009,-2.17896,-2.17896,-2.17896,-0.0366451,-0.0366451,-0.382207,-0.382207,-0.382207,-0.382207,-0.382207,-0.382207,-1.14682,-1.14682,-1.14682,-0.399207,-0.399207,-0.399207,-0.134113,-0.134113,-0.134113,-0.134113,-0.134113,-0.134113,-0.134113,-2.07538,-0.719778,-0.667207,-0.667207,-0.268735,-0.268735,-0.268735,-1.44539,-1.44539,-0.256593,-0.256593,-0.256593,-1.48582
-30.3993,0.784656,0.292724,2,3,0,34.9688,2.12269,1.52076,1.39029,0.594171,-0.552343,2.12269,1.52076,1.39029,0.594171,-0.552343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.436804,-0.436804,-1.03874,-1.03874,-1.03874,-0.392552,-0.196271,-0.196271,-0.196271,-1.72479,-1.72479,-1.72479,-0.0666345,-0.0666345,-0.63004,-0.63004,-0.63004,-0.63004,-0.63004,-0.63004,-0.760506,-0.760506,-0.760506,-0.333541,-0.333541,-0.333541,-0.11849,-0.11849,-0.11849,-0.11849,-0.11849,-0.11849,-0.11849,-2.19159,-0.372305,-1.16843,-1.16843,-0.133941,-0.133941,-0.133941,-2.07658,-2.07658,-0.27592,-0.27592,-0.27592,-1.42243
