# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmphHd10I/standata-1af426ed756.json
# init = 2 (Default)
# random
#   seed = 1870557270
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmphHd10I/file1af43d990293/reference/.bpcs/bt-202111110635-2-3595d5.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmphHd10I/file1af43d990293/reference/.bpcs/bt-profile-202111110635-2-48d064.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.270265
# Diagonal elements of inverse mass matrix:
# 1.89638, 1.88644, 2.0256, 1.95487, 2.02668
-29.4406,0.978002,0.270265,2,3,0,30.5644,-0.481746,-0.867314,-0.92605,-1.54939,-2.57144,-0.481746,-0.867314,-0.92605,-1.54939,-2.57144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.518832,-0.518832,-0.9044,-0.9044,-0.9044,-0.495471,-0.295515,-0.295515,-0.295515,-1.36316,-1.36316,-1.36316,-0.116649,-0.116649,-0.66421,-0.66421,-0.66421,-0.66421,-0.66421,-0.66421,-0.722946,-0.722946,-0.722946,-0.40917,-0.40917,-0.40917,-0.16715,-0.16715,-0.16715,-0.16715,-0.16715,-0.16715,-0.16715,-1.87128,-0.429281,-1.05262,-1.05262,-0.176418,-0.176418,-0.176418,-1.82181,-1.82181,-0.307378,-0.307378,-0.307378,-1.32943
-31.072,0.92144,0.270265,2,7,0,33.768,-1.35301,0.0660494,-2.13915,-1.63139,-3.89423,-1.35301,0.0660494,-2.13915,-1.63139,-3.89423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.63574,-1.63574,-0.216676,-0.216676,-0.216676,-0.375417,-0.563614,-0.563614,-0.563614,-0.841991,-0.841991,-0.841991,-0.0758219,-0.0758219,-0.104566,-0.104566,-0.104566,-0.104566,-0.104566,-0.104566,-2.30977,-2.30977,-2.30977,-0.168182,-0.168182,-0.168182,-0.0188785,-0.0188785,-0.0188785,-0.0188785,-0.0188785,-0.0188785,-0.0188785,-3.97916,-0.978918,-0.471152,-0.471152,-0.159474,-0.159474,-0.159474,-1.91455,-1.91455,-0.0989892,-0.0989892,-0.0989892,-2.36183
-28.0073,0.978827,0.270265,2,3,0,32.2162,-1.18889,-0.717122,-1.13008,-1.69262,-2.44531,-1.18889,-0.717122,-1.13008,-1.69262,-2.44531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9566,-0.9566,-0.484828,-0.484828,-0.484828,-0.722988,-0.472674,-0.472674,-0.472674,-0.976395,-0.976395,-0.976395,-0.250503,-0.250503,-0.507836,-0.507836,-0.507836,-0.507836,-0.507836,-0.507836,-0.920792,-0.920792,-0.920792,-0.319912,-0.319912,-0.319912,-0.163483,-0.163483,-0.163483,-0.163483,-0.163483,-0.163483,-0.163483,-1.89167,-0.450924,-1.01346,-1.01346,-0.237765,-0.237765,-0.237765,-1.553,-1.553,-0.386006,-0.386006,-0.386006,-1.1387
-28.155,0.913246,0.270265,3,7,0,29.7959,0.205009,0.375716,-1.74004,-0.188367,-1.56017,0.205009,0.375716,-1.74004,-0.188367,-1.56017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.782139,-0.782139,-0.611432,-0.611432,-0.611432,-0.13364,-0.515679,-0.515679,-0.515679,-0.909055,-0.909055,-0.909055,-0.157992,-0.157992,-0.113813,-0.113813,-0.113813,-0.113813,-0.113813,-0.113813,-2.22957,-2.22957,-2.22957,-0.450363,-0.450363,-0.450363,-0.13479,-0.13479,-0.13479,-0.13479,-0.13479,-0.13479,-0.13479,-2.07067,-1.74385,-0.192184,-0.192184,-0.787119,-0.787119,-0.787119,-0.607252,-0.607252,-0.226059,-0.226059,-0.226059,-1.59786
-28.6019,0.97536,0.270265,3,15,0,29.6063,0.210485,0.745556,0.611056,-0.245745,-1.1958,0.210485,0.745556,0.611056,-0.245745,-1.1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.996051,-0.996051,-0.46098,-0.46098,-0.46098,-0.913357,-0.490828,-0.490828,-0.490828,-0.947058,-0.947058,-0.947058,-0.219176,-0.219176,-0.628157,-0.628157,-0.628157,-0.628157,-0.628157,-0.628157,-0.762657,-0.762657,-0.762657,-0.315609,-0.315609,-0.315609,-0.134101,-0.134101,-0.134101,-0.134101,-0.134101,-0.134101,-0.134101,-2.07546,-0.353833,-1.21063,-1.21063,-0.152007,-0.152007,-0.152007,-1.95887,-1.95887,-0.32694,-0.32694,-0.32694,-1.277
-27.9079,0.90058,0.270265,2,3,0,30.4711,0.551178,0.876705,0.044641,-0.628756,-0.591764,0.551178,0.876705,0.044641,-0.628756,-0.591764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.869099,-0.869099,-0.543572,-0.543572,-0.543572,-0.471614,-0.267963,-0.267963,-0.267963,-1.4479,-1.4479,-1.4479,-0.276783,-0.276783,-0.361269,-0.361269,-0.361269,-0.361269,-0.361269,-0.361269,-1.19333,-1.19333,-1.19333,-0.200419,-0.200419,-0.200419,-0.20724,-0.20724,-0.20724,-0.20724,-0.20724,-0.20724,-0.20724,-1.67571,-0.412092,-1.08549,-1.08549,-0.424739,-0.424739,-0.424739,-1.06114,-1.06114,-0.711815,-0.711815,-0.711815,-0.674822
