# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmphHd10I/standata-1af47a554644.json
# init = 2 (Default)
# random
#   seed = 1664267551
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmphHd10I/file1af43d990293/reference/.bpcs/bt-202111110635-2-6a8f1e.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmphHd10I/file1af43d990293/reference/.bpcs/bt-profile-202111110635-2-8d596b.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.260145
# Diagonal elements of inverse mass matrix:
# 2.06191, 1.93838, 2.0578, 1.98409, 2.13374
-28.0157,0.748568,0.260145,3,7,0,30.4643,0.384226,0.627429,-1.04839,0.148883,-2.21358,0.384226,0.627429,-1.04839,0.148883,-2.21358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.822124,-0.822124,-0.578921,-0.578921,-0.578921,-0.214049,-0.582383,-0.582383,-0.582383,-0.817726,-0.817726,-0.817726,-0.0717963,-0.0717963,-0.171559,-0.171559,-0.171559,-0.171559,-0.171559,-0.171559,-1.84738,-1.84738,-1.84738,-0.482231,-0.482231,-0.482231,-0.0567266,-0.0567266,-0.0567266,-0.0567266,-0.0567266,-0.0567266,-0.0567266,-2.89774,-1.46119,-0.263913,-0.263913,-0.271448,-0.271448,-0.271448,-1.43664,-1.43664,-0.0900121,-0.0900121,-0.0900121,-2.45248
-31.7232,0.853414,0.260145,3,15,0,33.7423,2.22583,0.883914,-1.03428,0.439398,-1.62778,2.22583,0.883914,-1.03428,0.439398,-1.62778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.232178,-0.232178,-1.57409,-1.57409,-1.57409,-0.0376657,-0.154913,-0.154913,-0.154913,-1.94135,-1.94135,-1.94135,-0.0209813,-0.0209813,-0.137038,-0.137038,-0.137038,-0.137038,-0.137038,-0.137038,-2.05524,-2.05524,-2.05524,-0.495388,-0.495388,-0.495388,-0.0780071,-0.0780071,-0.0780071,-0.0780071,-0.0780071,-0.0780071,-0.0780071,-2.58971,-1.67995,-0.206266,-0.206266,-0.439796,-0.439796,-0.439796,-1.0333,-1.0333,-0.119153,-0.119153,-0.119153,-2.18633
-30.7355,0.992854,0.260145,3,15,0,33.5958,-1.61547,-0.00850368,-0.457677,-1.44442,-1.33803,-1.61547,-0.00850368,-0.457677,-1.44442,-1.33803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.7897,-1.7897,-0.182733,-0.182733,-0.182733,-1.43101,-0.782327,-0.782327,-0.782327,-0.611274,-0.611274,-0.611274,-0.841459,-0.841459,-0.493571,-0.493571,-0.493571,-0.493571,-0.493571,-0.493571,-0.942745,-0.942745,-0.942745,-0.213414,-0.213414,-0.213414,-0.234757,-0.234757,-0.234757,-0.234757,-0.234757,-0.234757,-0.234757,-1.56429,-0.316844,-1.30359,-1.30359,-0.346872,-0.346872,-0.346872,-1.22723,-1.22723,-0.747756,-0.747756,-0.747756,-0.641367
-27.8376,0.996338,0.260145,3,11,0,32.0238,0.97962,0.612015,-1.11073,-0.120928,-1.67923,0.97962,0.612015,-1.11073,-0.120928,-1.67923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.526142,-0.526142,-0.893748,-0.893748,-0.893748,-0.116577,-0.287198,-0.287198,-0.287198,-1.38775,-1.38775,-1.38775,-0.0676857,-0.0676857,-0.164307,-0.164307,-0.164307,-0.164307,-0.164307,-0.164307,-1.88705,-1.88705,-1.88705,-0.392375,-0.392375,-0.392375,-0.0963468,-0.0963468,-0.0963468,-0.0963468,-0.0963468,-0.0963468,-0.0963468,-2.38759,-1.30582,-0.316015,-0.316015,-0.448765,-0.448765,-0.448765,-1.01726,-1.01726,-0.191029,-0.191029,-0.191029,-1.74933
-29.654,0.877132,0.260145,3,11,0,30.8508,-0.22993,0.344881,-0.549167,0.347665,-2.51139,-0.22993,0.344881,-0.549167,0.347665,-2.51139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0213,-1.0213,-0.446486,-0.446486,-0.446486,-0.546214,-1.02308,-1.02308,-1.02308,-0.445485,-0.445485,-0.445485,-0.097249,-0.097249,-0.342878,-0.342878,-0.342878,-0.342878,-0.342878,-0.342878,-1.23693,-1.23693,-1.23693,-0.69454,-0.69454,-0.69454,-0.0558911,-0.0558911,-0.0558911,-0.0558911,-0.0558911,-0.0558911,-0.0558911,-2.91217,-1.2389,-0.342071,-0.342071,-0.131506,-0.131506,-0.131506,-2.09373,-2.09373,-0.05574,-0.05574,-0.05574,-2.9148
-30.8577,0.790113,0.260145,3,7,0,33.8595,0.713247,-0.731749,-1.02234,-0.170704,-1.68795,0.713247,-0.731749,-1.02234,-0.170704,-1.68795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.211676,-0.211676,-1.65667,-1.65667,-1.65667,-0.162371,-0.345819,-0.345819,-0.345819,-1.22977,-1.22977,-1.22977,-0.0867368,-0.0867368,-0.558369,-0.558369,-0.558369,-0.558369,-0.558369,-0.558369,-0.848962,-0.848962,-0.848962,-1.01251,-1.01251,-1.01251,-0.325232,-0.325232,-0.325232,-0.325232,-0.325232,-0.325232,-0.325232,-1.28143,-1.20701,-0.355375,-0.355375,-0.41473,-0.41473,-0.41473,-1.08034,-1.08034,-0.19829,-0.19829,-0.19829,-1.71553
