# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmphHd10I/standata-1af47b891368.json
# init = 2 (Default)
# random
#   seed = 164975990
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmphHd10I/file1af43d990293/reference/.bpcs/bt-202111110635-3-726f6a.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmphHd10I/file1af43d990293/reference/.bpcs/bt-profile-202111110635-3-8b7130.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.314707
# Diagonal elements of inverse mass matrix:
# 1.58634, 1.56575, 1.56998, 1.61034, 1.66792
-30.6214,0.896351,0.314707,2,7,0,31.9873,-0.548885,0.0838931,-0.00108592,0.200366,-0.500783,-0.548885,0.0838931,-0.00108592,0.200366,-0.500783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.05877,-1.05877,-0.425996,-0.425996,-0.425996,-1.0041,-1.13636,-1.13636,-1.13636,-0.387111,-0.387111,-0.387111,-0.717487,-0.717487,-0.65156,-0.65156,-0.65156,-0.65156,-0.65156,-0.65156,-0.736539,-0.736539,-0.736539,-0.753078,-0.753078,-0.753078,-0.442945,-0.442945,-0.442945,-0.442945,-0.442945,-0.442945,-0.442945,-1.02762,-0.798937,-0.597486,-0.597486,-0.474191,-0.474191,-0.474191,-0.973889,-0.973889,-0.402805,-0.402805,-0.402805,-1.10395
-29.0865,1,0.314707,2,3,0,31.8187,-0.273971,0.134363,-0.0826695,0.429591,-1.22487,-0.273971,0.134363,-0.0826695,0.429591,-1.22487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.918013,-0.918013,-0.509679,-0.509679,-0.509679,-0.793366,-1.10557,-1.10557,-1.10557,-0.402005,-0.402005,-0.402005,-0.326707,-0.326707,-0.590507,-0.590507,-0.590507,-0.590507,-0.590507,-0.590507,-0.80754,-0.80754,-0.80754,-0.851617,-0.851617,-0.851617,-0.228616,-0.228616,-0.228616,-0.228616,-0.228616,-0.228616,-0.228616,-1.58784,-0.981726,-0.469466,-0.469466,-0.276963,-0.276963,-0.276963,-1.41916,-1.41916,-0.174958,-0.174958,-0.174958,-1.82941
-28.1858,1,0.314707,1,1,0,29.1321,-0.13322,0.246777,-0.192672,0.408224,-1.24675,-0.13322,0.246777,-0.192672,0.408224,-1.24675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.901088,-0.901088,-0.521091,-0.521091,-0.521091,-0.663863,-1.00007,-1.00007,-1.00007,-0.458632,-0.458632,-0.458632,-0.283974,-0.283974,-0.497371,-0.497371,-0.497371,-0.497371,-0.497371,-0.497371,-0.936819,-0.936819,-0.936819,-0.777125,-0.777125,-0.777125,-0.202598,-0.202598,-0.202598,-0.202598,-0.202598,-0.202598,-0.202598,-1.69612,-1.03807,-0.437171,-0.437171,-0.299004,-0.299004,-0.299004,-1.35308,-1.35308,-0.174875,-0.174875,-0.174875,-1.82985
-31.7196,0.557328,0.314707,2,3,0,33.8218,-0.325305,1.17805,-0.707138,1.18431,-0.79638,-0.325305,1.17805,-0.707138,1.18431,-0.79638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.70415,-1.70415,-0.200803,-0.200803,-0.200803,-0.520346,-1.70928,-1.70928,-1.70928,-0.199666,-0.199666,-0.199666,-0.485096,-0.485096,-0.141327,-0.141327,-0.141327,-0.141327,-0.141327,-0.141327,-2.02651,-2.02651,-2.02651,-0.696284,-0.696284,-0.696284,-0.130011,-0.130011,-0.130011,-0.130011,-0.130011,-0.130011,-0.130011,-2.10444,-2.03195,-0.140504,-0.140504,-0.649521,-0.649521,-0.649521,-0.738764,-0.738764,-0.129249,-0.129249,-0.129249,-2.10994
-28.0969,0.933253,0.314707,3,7,0,33.3598,0.625624,0.939201,-0.286376,1.14036,-0.538378,0.625624,0.939201,-0.286376,1.14036,-0.538378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.862177,-0.862177,-0.5486,-0.5486,-0.5486,-0.3377,-0.983276,-0.983276,-0.983276,-0.468538,-0.468538,-0.468538,-0.271731,-0.271731,-0.25742,-0.25742,-0.25742,-0.25742,-0.25742,-0.25742,-1.483,-1.483,-1.483,-0.798777,-0.798777,-0.798777,-0.205541,-0.205541,-0.205541,-0.205541,-0.205541,-0.205541,-0.205541,-1.68312,-1.64192,-0.215185,-0.215185,-0.575063,-0.575063,-0.575063,-0.827066,-0.827066,-0.1711,-0.1711,-0.1711,-1.84984
-27.1843,0.891545,0.314707,3,11,0,30.53,-0.30496,0.208366,-0.787059,-1.21391,-1.52152,-0.30496,0.208366,-0.787059,-1.21391,-1.52152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.982393,-0.982393,-0.469067,-0.469067,-0.469067,-0.480873,-0.338575,-0.338575,-0.338575,-1.24753,-1.24753,-1.24753,-0.259474,-0.259474,-0.314494,-0.314494,-0.314494,-0.314494,-0.314494,-0.314494,-1.30992,-1.30992,-1.30992,-0.21605,-0.21605,-0.21605,-0.163228,-0.163228,-0.163228,-0.163228,-0.163228,-0.163228,-0.163228,-1.89311,-0.502325,-0.929178,-0.929178,-0.391883,-0.391883,-0.391883,-1.12634,-1.12634,-0.551125,-0.551125,-0.551125,-0.858733
