# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmphHd10I/standata-1af439c1d89e.json
# init = 2 (Default)
# random
#   seed = 165663476
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmphHd10I/file1af43d990293/reference/.bpcs/bt-202111110635-4-2bbe43.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmphHd10I/file1af43d990293/reference/.bpcs/bt-profile-202111110635-4-25c1a8.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.239832
# Diagonal elements of inverse mass matrix:
# 2.41102, 2.37502, 2.38624, 2.3977, 2.34317
-27.9471,0.993667,0.239832,3,7,0,29.0322,2.24616,2.43102,0.545273,1.01061,-0.0695405,2.24616,2.43102,0.545273,1.01061,-0.0695405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.789843,-0.789843,-0.604983,-0.604983,-0.604983,-0.16765,-0.255166,-0.255166,-0.255166,-1.49071,-1.49071,-1.49071,-0.0941253,-0.0941253,-0.141253,-0.141253,-0.141253,-0.141253,-0.141253,-0.141253,-2.027,-2.027,-2.027,-0.216414,-0.216414,-0.216414,-0.0788475,-0.0788475,-0.0788475,-0.0788475,-0.0788475,-0.0788475,-0.0788475,-2.5794,-0.952643,-0.487305,-0.487305,-0.432264,-0.432264,-0.432264,-1.04708,-1.04708,-0.292329,-0.292329,-0.292329,-1.37248
-27.8797,0.976203,0.239832,3,15,0,28.9733,0.936952,1.4587,-0.286456,-0.0322329,-0.104528,0.936952,1.4587,-0.286456,-0.0322329,-0.104528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.987672,-0.987672,-0.46592,-0.46592,-0.46592,-0.257913,-0.321643,-0.321643,-0.321643,-1.29083,-1.29083,-1.29083,-0.302274,-0.302274,-0.160942,-0.160942,-0.160942,-0.160942,-0.160942,-0.160942,-1.9061,-1.9061,-1.9061,-0.203073,-0.203073,-0.203073,-0.190172,-0.190172,-0.190172,-0.190172,-0.190172,-0.190172,-0.190172,-1.7534,-0.828316,-0.574092,-0.574092,-0.788243,-0.788243,-0.788243,-0.606315,-0.606315,-0.657653,-0.657653,-0.657653,-0.729948
-27.1033,0.984999,0.239832,3,15,0,29.1552,0.928731,0.962241,-0.419571,0.384397,-1.52027,0.928731,0.962241,-0.419571,0.384397,-1.52027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.710042,-0.710042,-0.676533,-0.676533,-0.676533,-0.230858,-0.457569,-0.457569,-0.457569,-1.0019,-1.0019,-1.0019,-0.0828511,-0.0828511,-0.224042,-0.224042,-0.224042,-0.224042,-0.224042,-0.224042,-1.60585,-1.60585,-1.60585,-0.445395,-0.445395,-0.445395,-0.0802274,-0.0802274,-0.0802274,-0.0802274,-0.0802274,-0.0802274,-0.0802274,-2.56274,-1.17384,-0.369872,-0.369872,-0.287162,-0.287162,-0.287162,-1.38786,-1.38786,-0.138781,-0.138781,-0.138781,-2.04345
-27.1841,0.991458,0.239832,3,15,0,27.835,-0.667388,0.0887797,-1.18289,-0.99435,-1.33537,-0.667388,0.0887797,-1.18289,-0.99435,-1.33537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.14106,-1.14106,-0.384896,-0.384896,-0.384896,-0.468254,-0.54297,-0.54297,-0.54297,-0.869932,-0.869932,-0.869932,-0.413924,-0.413924,-0.247144,-0.247144,-0.247144,-0.247144,-0.247144,-0.247144,-1.51881,-1.51881,-1.51881,-0.291575,-0.291575,-0.291575,-0.215686,-0.215686,-0.215686,-0.215686,-0.215686,-0.215686,-0.215686,-1.63984,-0.791852,-0.603316,-0.603316,-0.619809,-0.619809,-0.619809,-0.772292,-0.772292,-0.537104,-0.537104,-0.537104,-0.878124
-28.2603,0.732611,0.239832,3,7,0,30.6227,0.547737,1.36958,-0.0716596,-0.466831,-1.75764,0.547737,1.36958,-0.0716596,-0.466831,-1.75764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.18622,-1.18622,-0.364381,-0.364381,-0.364381,-0.430658,-0.309365,-0.309365,-0.309365,-1.32393,-1.32393,-1.32393,-0.0950566,-0.0950566,-0.212394,-0.212394,-0.212394,-0.212394,-0.212394,-0.212394,-1.65363,-1.65363,-1.65363,-0.147893,-0.147893,-0.147893,-0.0429059,-0.0429059,-0.0429059,-0.0429059,-0.0429059,-0.0429059,-0.0429059,-3.17012,-0.514956,-0.910127,-0.910127,-0.169964,-0.169964,-0.169964,-1.85595,-1.85595,-0.242984,-0.242984,-0.242984,-1.53379
-27.2941,0.987047,0.239832,2,7,0,29.149,0.0478163,1.13431,-0.212159,-0.136061,-1.60743,0.0478163,1.13431,-0.212159,-0.136061,-1.60743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.37722,-1.37722,-0.290724,-0.290724,-0.290724,-0.571584,-0.605429,-0.605429,-0.605429,-0.789306,-0.789306,-0.789306,-0.174832,-0.174832,-0.231236,-0.231236,-0.231236,-0.231236,-0.231236,-0.231236,-1.57771,-1.57771,-1.57771,-0.247427,-0.247427,-0.247427,-0.0624658,-0.0624658,-0.0624658,-0.0624658,-0.0624658,-0.0624658,-0.0624658,-2.80421,-0.73192,-0.655822,-0.655822,-0.221356,-0.221356,-0.221356,-1.61662,-1.61662,-0.206699,-0.206699,-0.206699,-1.67806
