# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmphHd10I/standata-1af4433266f5.json
# init = 2 (Default)
# random
#   seed = 1159774946
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmphHd10I/file1af43d990293/reference/.bpcs/bt-202111110635-4-56232f.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmphHd10I/file1af43d990293/reference/.bpcs/bt-profile-202111110635-4-1354e1.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.25783
# Diagonal elements of inverse mass matrix:
# 1.88725, 1.93516, 1.95779, 1.81635, 1.94805
-28.4329,0.887134,0.25783,3,7,0,29.0649,1.57562,1.01184,0.41711,0.419605,0.0378973,1.57562,1.01184,0.41711,0.419605,0.0378973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.450476,-0.450476,-1.01425,-1.01425,-1.01425,-0.273041,-0.273638,-0.273638,-0.273638,-1.42965,-1.42965,-1.42965,-0.194637,-0.194637,-0.439357,-0.439357,-0.439357,-0.439357,-0.439357,-0.439357,-1.03409,-1.03409,-1.03409,-0.440245,-0.440245,-0.440245,-0.320335,-0.320335,-0.320335,-0.320335,-0.320335,-0.320335,-0.320335,-1.29428,-0.694395,-0.6919,-0.6919,-0.521409,-0.521409,-0.521409,-0.900622,-0.900622,-0.520396,-0.520396,-0.520396,-0.902104
-28.1057,0.995582,0.25783,4,23,0,29.436,-0.0214304,1.19004,-1.02119,-0.695121,-1.65806,-0.0214304,1.19004,-1.02119,-0.695121,-1.65806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.47211,-1.47211,-0.260639,-0.260639,-0.260639,-0.313326,-0.411993,-0.411993,-0.411993,-1.08568,-1.08568,-1.08568,-0.17784,-0.17784,-0.103968,-0.103968,-0.103968,-0.103968,-0.103968,-0.103968,-2.3152,-2.3152,-2.3152,-0.14133,-0.14133,-0.14133,-0.056337,-0.056337,-0.056337,-0.056337,-0.056337,-0.056337,-0.056337,-2.90444,-0.869415,-0.543343,-0.543343,-0.424578,-0.424578,-0.424578,-1.06145,-1.06145,-0.323364,-0.323364,-0.323364,-1.28631
-26.8465,0.981535,0.25783,3,7,0,28.6563,0.210783,0.112227,-0.654495,-0.182929,-1.22919,0.210783,0.112227,-0.654495,-0.182929,-1.22919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.645083,-0.645083,-0.743639,-0.743639,-0.743639,-0.351315,-0.515543,-0.515543,-0.515543,-0.909256,-0.909256,-0.909256,-0.212636,-0.212636,-0.381537,-0.381537,-0.381537,-0.381537,-0.381537,-0.381537,-1.14826,-1.14826,-1.14826,-0.556419,-0.556419,-0.556419,-0.232282,-0.232282,-0.232282,-0.232282,-0.232282,-0.232282,-0.232282,-1.5737,-0.956473,-0.484907,-0.484907,-0.446529,-0.446529,-0.446529,-1.02122,-1.02122,-0.30103,-0.30103,-0.30103,-1.34729
-28.6019,0.832562,0.25783,2,3,0,29.44,0.191121,-0.11764,-1.11779,0.228714,-1.03812,0.191121,-0.11764,-1.11779,0.228714,-1.03812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.550636,-0.550636,-0.859397,-0.859397,-0.859397,-0.239108,-0.712121,-0.712121,-0.712121,-0.674527,-0.674527,-0.674527,-0.256589,-0.256589,-0.313222,-0.313222,-0.313222,-0.313222,-0.313222,-0.313222,-1.31337,-1.31337,-1.31337,-0.881245,-0.881245,-0.881245,-0.335276,-0.335276,-0.335276,-0.335276,-0.335276,-0.335276,-0.335276,-1.25576,-1.57773,-0.23123,-0.23123,-0.733772,-0.733772,-0.733772,-0.654109,-0.654109,-0.248204,-0.248204,-0.248204,-1.51504
-27.5677,0.994309,0.25783,3,11,0,29.9857,-1.07297,-0.290211,-1.79863,-1.86324,-2.72964,-1.07297,-0.290211,-1.79863,-1.86324,-2.72964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.15924,-1.15924,-0.376478,-0.376478,-0.376478,-0.394744,-0.374126,-0.374126,-0.374126,-1.1644,-1.1644,-1.1644,-0.174602,-0.174602,-0.199882,-0.199882,-0.199882,-0.199882,-0.199882,-0.199882,-1.7083,-1.7083,-1.7083,-0.188482,-0.188482,-0.188482,-0.0836152,-0.0836152,-0.0836152,-0.0836152,-0.0836152,-0.0836152,-0.0836152,-2.52305,-0.661363,-0.725975,-0.725975,-0.332289,-0.332289,-0.332289,-1.2633,-1.2633,-0.350983,-0.350983,-0.350983,-1.21738
-27.5917,0.912703,0.25783,4,19,0,29.6251,0.41391,0.798961,0.196397,0.314918,-1.55123,0.41391,0.798961,0.196397,0.314918,-1.55123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.904092,-0.904092,-0.519041,-0.519041,-0.519041,-0.590293,-0.644875,-0.644875,-0.644875,-0.743868,-0.743868,-0.743868,-0.131147,-0.131147,-0.43658,-0.43658,-0.43658,-0.43658,-0.43658,-0.43658,-1.03914,-1.03914,-1.03914,-0.480131,-0.480131,-0.480131,-0.0910746,-0.0910746,-0.0910746,-0.0910746,-0.0910746,-0.0910746,-0.0910746,-2.44127,-0.754163,-0.635642,-0.635642,-0.160576,-0.160576,-0.160576,-1.9082,-1.9082,-0.143856,-0.143856,-0.143856,-2.01001
