# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmphHd10I/standata-1af47425d6dd.json
# init = 2 (Default)
# random
#   seed = 736785118
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmphHd10I/file1af43d990293/reference/.bpcs/bt-202111110636-1-2cae2d.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmphHd10I/file1af43d990293/reference/.bpcs/bt-profile-202111110636-1-40dd85.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.255366
# Diagonal elements of inverse mass matrix:
# 2.11095, 2.06705, 1.91365, 2.06783, 2.04266
-28.3733,0.957683,0.255366,3,7,0,29.5802,2.23721,2.99247,1.73536,1.32368,0.230971,2.23721,2.99247,1.73536,1.32368,0.230971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.14045,-1.14045,-0.385186,-0.385186,-0.385186,-0.473377,-0.337263,-0.337263,-0.337263,-1.25079,-1.25079,-1.25079,-0.126186,-0.126186,-0.250349,-0.250349,-0.250349,-0.250349,-0.250349,-0.250349,-1.50747,-1.50747,-1.50747,-0.172671,-0.172671,-0.172671,-0.0612802,-0.0612802,-0.0612802,-0.0612802,-0.0612802,-0.0612802,-0.0612802,-2.82278,-0.508348,-0.920019,-0.920019,-0.200615,-0.200615,-0.200615,-1.705,-1.705,-0.28916,-0.28916,-0.28916,-1.38187
-29.6355,0.841388,0.255366,4,23,0,33.9131,-0.726864,-0.102502,-1.56868,-0.914212,-3.60342,-0.726864,-0.102502,-1.56868,-0.914212,-3.60342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.05329,-1.05329,-0.428923,-0.428923,-0.428923,-0.358323,-0.603854,-0.603854,-0.603854,-0.791202,-0.791202,-0.791202,-0.0547993,-0.0547993,-0.207669,-0.207669,-0.207669,-0.207669,-0.207669,-0.207669,-1.67385,-1.67385,-1.67385,-0.367485,-0.367485,-0.367485,-0.0297236,-0.0297236,-0.0297236,-0.0297236,-0.0297236,-0.0297236,-0.0297236,-3.53064,-1.07299,-0.418525,-0.418525,-0.12285,-0.12285,-0.12285,-2.15759,-2.15759,-0.0657268,-0.0657268,-0.0657268,-2.75493
-29.2622,0.928212,0.255366,3,15,0,33.1215,0.561862,0.544076,-1.19829,-1.26163,-1.16032,0.561862,0.544076,-1.19829,-1.26163,-1.16032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.684294,-0.684294,-0.70208,-0.70208,-0.70208,-0.158727,-0.149679,-0.149679,-0.149679,-1.97317,-1.97317,-1.97317,-0.164392,-0.164392,-0.161357,-0.161357,-0.161357,-0.161357,-0.161357,-0.161357,-1.90373,-1.90373,-1.90373,-0.152171,-0.152171,-0.152171,-0.167109,-0.167109,-0.167109,-0.167109,-0.167109,-0.167109,-0.167109,-1.8715,-0.661982,-0.725314,-0.725314,-0.712315,-0.712315,-0.712315,-0.67434,-0.67434,-0.745083,-0.745083,-0.745083,-0.643776
-27.2413,0.976831,0.255366,3,7,0,30.4482,0.0392267,0.73467,0.000935265,-0.134144,-1.61073,0.0392267,0.73467,0.000935265,-0.134144,-1.61073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.10014,-1.10014,-0.4047,-0.4047,-0.4047,-0.674185,-0.610214,-0.610214,-0.610214,-0.783585,-0.783585,-0.783585,-0.175682,-0.175682,-0.392118,-0.392118,-0.392118,-0.392118,-0.392118,-0.392118,-1.12585,-1.12585,-1.12585,-0.350269,-0.350269,-0.350269,-0.091493,-0.091493,-0.091493,-0.091493,-0.091493,-0.091493,-0.091493,-2.43689,-0.627887,-0.762966,-0.762966,-0.181951,-0.181951,-0.181951,-1.79361,-1.79361,-0.205726,-0.205726,-0.205726,-1.68231
-28.9968,0.91655,0.255366,3,15,0,30.1391,-0.42261,0.815736,-0.570331,-1.3812,-1.0702,-0.42261,0.815736,-0.570331,-1.3812,-1.0702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.49288,-1.49288,-0.254536,-0.254536,-0.254536,-0.622012,-0.324568,-0.324568,-0.324568,-1.28316,-1.28316,-1.28316,-0.420883,-0.420883,-0.223189,-0.223189,-0.223189,-0.223189,-0.223189,-0.223189,-1.60926,-1.60926,-1.60926,-0.105389,-0.105389,-0.105389,-0.141228,-0.141228,-0.141228,-0.141228,-0.141228,-0.141228,-0.141228,-2.02716,-0.367743,-1.17861,-1.17861,-0.474127,-0.474127,-0.474127,-0.973995,-0.973995,-0.86069,-0.86069,-0.86069,-0.549688
-27.3503,0.995775,0.255366,2,3,0,29.8963,-0.492327,0.30107,-0.367569,-0.320408,-1.74024,-0.492327,0.30107,-0.367569,-0.320408,-1.74024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.16655,-1.16655,-0.373153,-0.373153,-0.373153,-0.75747,-0.782796,-0.782796,-0.782796,-0.610878,-0.610878,-0.610878,-0.252394,-0.252394,-0.413702,-0.413702,-0.413702,-0.413702,-0.413702,-0.413702,-1.08234,-1.08234,-1.08234,-0.42993,-0.42993,-0.42993,-0.122092,-0.122092,-0.122092,-0.122092,-0.122092,-0.122092,-0.122092,-2.1634,-0.717005,-0.669845,-0.669845,-0.225883,-0.225883,-0.225883,-1.59856,-1.59856,-0.216525,-0.216525,-0.216525,-1.63636
