# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmphHd10I/standata-1af44be658a0.json
# init = 2 (Default)
# random
#   seed = 1064546793
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmphHd10I/file1af43d990293/reference/.bpcs/bt-202111110636-2-6f8780.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmphHd10I/file1af43d990293/reference/.bpcs/bt-profile-202111110636-2-8fb929.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.2936
# Diagonal elements of inverse mass matrix:
# 1.6785, 1.59489, 1.60574, 1.61148, 1.71639
-27.6337,0.985876,0.2936,3,15,0,28.6131,1.2479,1.44547,0.893351,1.22837,-0.593994,1.2479,1.44547,0.893351,1.22837,-0.593994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.796804,-0.796804,-0.599233,-0.599233,-0.599233,-0.531503,-0.683427,-0.683427,-0.683427,-0.702963,-0.702963,-0.702963,-0.14714,-0.14714,-0.454716,-0.454716,-0.454716,-0.454716,-0.454716,-0.454716,-1.00684,-1.00684,-1.00684,-0.590474,-0.590474,-0.590474,-0.122304,-0.122304,-0.122304,-0.122304,-0.122304,-0.122304,-0.122304,-2.16177,-0.87462,-0.539603,-0.539603,-0.203734,-0.203734,-0.203734,-1.69108,-1.69108,-0.149836,-0.149836,-0.149836,-1.9722
-28.3641,0.817624,0.2936,3,7,0,30.6107,1.81083,2.53179,0.289766,0.832206,0.25735,1.81083,2.53179,0.289766,0.832206,0.25735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.11724,-1.11724,-0.396279,-0.396279,-0.396279,-0.197604,-0.319056,-0.319056,-0.319056,-1.29768,-1.29768,-1.29768,-0.191868,-0.191868,-0.10097,-0.10097,-0.10097,-0.10097,-0.10097,-0.10097,-2.34299,-2.34299,-2.34299,-0.16785,-0.16785,-0.16785,-0.0979019,-0.0979019,-0.0979019,-0.0979019,-0.0979019,-0.0979019,-0.0979019,-2.37234,-1.0007,-0.458265,-0.458265,-0.677071,-0.677071,-0.677071,-0.709486,-0.709486,-0.44647,-0.44647,-0.44647,-1.02133
-27.1717,0.899033,0.2936,3,7,0,30.2996,1.23946,1.57535,0.580827,1.43023,-0.0683103,1.23946,1.57535,0.580827,1.43023,-0.0683103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.875126,-0.875126,-0.539241,-0.539241,-0.539241,-0.417102,-0.793072,-0.793072,-0.793072,-0.602306,-0.602306,-0.602306,-0.239349,-0.239349,-0.314738,-0.314738,-0.314738,-0.314738,-0.314738,-0.314738,-1.30926,-1.30926,-1.30926,-0.623218,-0.623218,-0.623218,-0.176699,-0.176699,-0.176699,-0.176699,-0.176699,-0.176699,-0.176699,-1.82036,-1.20545,-0.356044,-0.356044,-0.420351,-0.420351,-0.420351,-1.06949,-1.06949,-0.20168,-0.20168,-0.20168,-1.70022
-27.022,0.863563,0.2936,4,23,0,29.9774,-0.536227,-0.404994,-1.36806,-0.828887,-2.48248,-0.536227,-0.404994,-1.36806,-0.828887,-2.48248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.760915,-0.760915,-0.629682,-0.629682,-0.629682,-0.36134,-0.557485,-0.557485,-0.557485,-0.850145,-0.850145,-0.850145,-0.133489,-0.133489,-0.32333,-0.32333,-0.32333,-0.32333,-0.32333,-0.32333,-1.28639,-1.28639,-1.28639,-0.503495,-0.503495,-0.503495,-0.118001,-0.118001,-0.118001,-0.118001,-0.118001,-0.118001,-0.118001,-2.19549,-0.998639,-0.459468,-0.459468,-0.283753,-0.283753,-0.283753,-1.39817,-1.39817,-0.175097,-0.175097,-0.175097,-1.82869
-28.1544,0.873441,0.2936,3,15,0,28.9388,-0.127901,1.07745,-1.05632,-0.430289,-0.885501,-0.127901,1.07745,-1.05632,-0.430289,-0.885501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.4674,-1.4674,-0.262046,-0.262046,-0.262046,-0.333023,-0.55334,-0.55334,-0.55334,-0.855728,-0.855728,-0.855728,-0.384439,-0.384439,-0.11189,-0.11189,-0.11189,-0.11189,-0.11189,-0.11189,-2.24566,-2.24566,-2.24566,-0.200006,-0.200006,-0.200006,-0.131417,-0.131417,-0.131417,-0.131417,-0.131417,-0.131417,-0.131417,-2.09437,-1.05437,-0.428343,-0.428343,-0.782198,-0.782198,-0.782198,-0.611382,-0.611382,-0.491223,-0.491223,-0.491223,-0.946435
-28.0979,0.821048,0.2936,2,7,0,31.0023,0.592435,0.337234,-0.825547,-0.576345,-0.721481,0.592435,0.337234,-0.825547,-0.576345,-0.721481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.573666,-0.573666,-0.828867,-0.828867,-0.828867,-0.216886,-0.270596,-0.270596,-0.270596,-1.43938,-1.43938,-1.43938,-0.238044,-0.238044,-0.272022,-0.272022,-0.272022,-0.272022,-0.272022,-0.272022,-1.4348,-1.4348,-1.4348,-0.337248,-0.337248,-0.337248,-0.297807,-0.297807,-0.297807,-0.297807,-0.297807,-0.297807,-0.297807,-1.35652,-0.825491,-0.576289,-0.576289,-0.746533,-0.746533,-0.746533,-0.642467,-0.642467,-0.62321,-0.62321,-0.62321,-0.768346
