# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmphHd10I/standata-1af43d73d04c.json
# init = 2 (Default)
# random
#   seed = 1233304212
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmphHd10I/file1af43d990293/reference/.bpcs/bt-202111110636-2-8278e2.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmphHd10I/file1af43d990293/reference/.bpcs/bt-profile-202111110636-2-00724b.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.275834
# Diagonal elements of inverse mass matrix:
# 1.69171, 1.73655, 1.80841, 1.66841, 1.76954
-29.7903,0.870765,0.275834,3,7,0,31.0798,-0.0370024,1.05798,-0.613164,-1.38467,-0.860807,-0.0370024,1.05798,-0.613164,-1.38467,-0.860807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38357,-1.38357,-0.288592,-0.288592,-0.288592,-0.446,-0.23099,-0.23099,-0.23099,-1.57865,-1.57865,-1.57865,-0.363781,-0.363781,-0.172299,-0.172299,-0.172299,-0.172299,-0.172299,-0.172299,-1.84344,-1.84344,-1.84344,-0.0833579,-0.0833579,-0.0833579,-0.136963,-0.136963,-0.136963,-0.136963,-0.136963,-0.136963,-0.136963,-2.05574,-0.380023,-1.15153,-1.15153,-0.576972,-0.576972,-0.576972,-0.824615,-0.824615,-0.988996,-0.988996,-0.988996,-0.465135
-27.3343,0.9013,0.275834,3,7,0,32.538,-0.0184541,-0.195958,-1.00231,-0.135931,-1.53967,-0.0184541,-0.195958,-1.00231,-0.135931,-1.53967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.608329,-0.608329,-0.785832,-0.785832,-0.785832,-0.31763,-0.636133,-0.636133,-0.636133,-0.75361,-0.75361,-0.75361,-0.197577,-0.197577,-0.369137,-0.369137,-0.369137,-0.369137,-0.369137,-0.369137,-1.17548,-1.17548,-1.17548,-0.723611,-0.723611,-0.723611,-0.231807,-0.231807,-0.231807,-0.231807,-0.231807,-0.231807,-0.231807,-1.57552,-1.21736,-0.35099,-0.35099,-0.460135,-0.460135,-0.460135,-0.997496,-0.997496,-0.21968,-0.21968,-0.21968,-1.62342
-27.1042,0.940338,0.275834,3,15,0,28.811,0.33089,1.13564,-0.154711,-0.542304,-1.15959,0.33089,1.13564,-0.154711,-0.542304,-1.15959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.17438,-1.17438,-0.369631,-0.369631,-0.369631,-0.479538,-0.348976,-0.348976,-0.348976,-1.22217,-1.22217,-1.22217,-0.203156,-0.203156,-0.243083,-0.243083,-0.243083,-0.243083,-0.243083,-0.243083,-1.53343,-1.53343,-1.53343,-0.171225,-0.171225,-0.171225,-0.0959808,-0.0959808,-0.0959808,-0.0959808,-0.0959808,-0.0959808,-0.0959808,-2.39121,-0.518013,-0.905606,-0.905606,-0.311951,-0.311951,-0.311951,-1.31683,-1.31683,-0.431396,-0.431396,-0.431396,-1.04869
-27.0959,0.99825,0.275834,2,7,0,27.3666,0.360033,1.11214,-0.0941302,-0.447905,-1.36621,0.360033,1.11214,-0.0941302,-0.447905,-1.36621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1383,-1.1383,-0.386197,-0.386197,-0.386197,-0.49163,-0.368646,-0.368646,-0.368646,-1.17658,-1.17658,-1.17658,-0.163777,-0.163777,-0.261835,-0.261835,-0.261835,-0.261835,-0.261835,-0.261835,-1.4681,-1.4681,-1.4681,-0.190726,-0.190726,-0.190726,-0.080549,-0.080549,-0.080549,-0.080549,-0.080549,-0.080549,-0.080549,-2.55889,-0.531823,-0.885598,-0.885598,-0.247054,-0.247054,-0.247054,-1.51913,-1.51913,-0.335898,-0.335898,-0.335898,-1.2542
-28.8956,0.859255,0.275834,2,3,0,29.4485,0.203996,1.68254,-0.0309214,-0.499182,-1.55768,0.203996,1.68254,-0.0309214,-0.499182,-1.55768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.6839,-1.6839,-0.205362,-0.205362,-0.205362,-0.582571,-0.402133,-0.402133,-0.402133,-1.10531,-1.10531,-1.10531,-0.158505,-0.158505,-0.165719,-0.165719,-0.165719,-0.165719,-0.165719,-0.165719,-1.87918,-1.87918,-1.87918,-0.106922,-0.106922,-0.106922,-0.0384083,-0.0384083,-0.0384083,-0.0384083,-0.0384083,-0.0384083,-0.0384083,-3.27862,-0.486179,-0.954439,-0.954439,-0.196585,-0.196585,-0.196585,-1.72334,-1.72334,-0.297863,-0.297863,-0.297863,-1.35636
-28.4477,0.994021,0.275834,2,7,0,29.7029,-0.191299,1.4796,0.0425969,-0.364062,-1.3633,-0.191299,1.4796,0.0425969,-0.364062,-1.3633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.84324,-1.84324,-0.172336,-0.172336,-0.172336,-0.816918,-0.610492,-0.610492,-0.610492,-0.783255,-0.783255,-0.783255,-0.269834,-0.269834,-0.213205,-0.213205,-0.213205,-0.213205,-0.213205,-0.213205,-1.65021,-1.65021,-1.65021,-0.146898,-0.146898,-0.146898,-0.0566226,-0.0566226,-0.0566226,-0.0566226,-0.0566226,-0.0566226,-0.0566226,-2.89952,-0.510348,-0.917007,-0.917007,-0.219254,-0.219254,-0.219254,-1.62515,-1.62515,-0.313467,-0.313467,-0.313467,-1.3127
