# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bt_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmphHd10I/standata-1af434c0c87d.json
# init = 2 (Default)
# random
#   seed = 1570237587
# output
#   file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmphHd10I/file1af43d990293/reference/.bpcs/bt-202111110636-4-2dd8d3.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /private/var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/RtmphHd10I/file1af43d990293/reference/.bpcs/bt-profile-202111110636-4-030a6a.csv
# stanc_version = stanc3 v2.26.1
# stancflags = --name=bt_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda_param.1,lambda_param.2,lambda_param.3,lambda_param.4,lambda_param.5,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,gm,nu,U1_std,U1.1.1,U1.2.1,U1.3.1,U1.4.1,U1.5.1,U2_std,U2.1.1,U2.2.1,U2.3.1,U2.4.1,U2.5.1,U3_std,U3.1.1,U3.2.1,U3.3.1,U3.4.1,U3.5.1,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,B.1,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46
# Adaptation terminated
# Step size = 0.272429
# Diagonal elements of inverse mass matrix:
# 2.25257, 2.05989, 2.02074, 2.15494, 2.06828
-28.0256,0.76359,0.272429,3,7,0,30.6143,-1.05075,0.255765,-0.618117,-1.07269,-1.44751,-1.05075,0.255765,-0.618117,-1.07269,-1.44751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.54613,-1.54613,-0.239617,-0.239617,-0.239617,-0.932679,-0.682237,-0.682237,-0.682237,-0.704178,-0.704178,-0.704178,-0.514318,-0.514318,-0.348774,-0.348774,-0.348774,-0.348774,-0.348774,-0.348774,-1.22266,-1.22266,-1.22266,-0.234982,-0.234982,-0.234982,-0.167282,-0.167282,-0.167282,-0.167282,-0.167282,-0.167282,-0.167282,-1.87055,-0.491471,-0.946043,-0.946043,-0.362082,-0.362082,-0.362082,-1.19147,-1.19147,-0.523198,-0.523198,-0.523198,-0.898014
-27.8772,0.974878,0.272429,3,15,0,28.8928,0.717335,0.300443,-1.08042,0.184194,-1.89268,0.717335,0.300443,-1.08042,0.184194,-1.89268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.50627,-0.50627,-0.923163,-0.923163,-0.923163,-0.153296,-0.461693,-0.461693,-0.461693,-0.994835,-0.994835,-0.994835,-0.0709553,-0.0709553,-0.224232,-0.224232,-0.224232,-0.224232,-0.224232,-0.224232,-1.6051,-1.6051,-1.6051,-0.636711,-0.636711,-0.636711,-0.105771,-0.105771,-0.105771,-0.105771,-0.105771,-0.105771,-0.105771,-2.2989,-1.51331,-0.248693,-0.248693,-0.367316,-0.367316,-0.367316,-1.17958,-1.17958,-0.118068,-0.118068,-0.118068,-2.19494
-28.6532,0.844654,0.272429,3,7,0,30.3134,0.789657,0.847132,-1.51046,-0.355757,-1.7688,0.789657,0.847132,-1.51046,-0.355757,-1.7688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.722298,-0.722298,-0.664822,-0.664822,-0.664822,-0.0955349,-0.276186,-0.276186,-0.276186,-1.4216,-1.4216,-1.4216,-0.0745731,-0.0745731,-0.0904327,-0.0904327,-0.0904327,-0.0904327,-0.0904327,-0.0904327,-2.44802,-2.44802,-2.44802,-0.262615,-0.262615,-0.262615,-0.0705512,-0.0705512,-0.0705512,-0.0705512,-0.0705512,-0.0705512,-0.0705512,-2.68648,-1.42865,-0.273952,-0.273952,-0.572296,-0.572296,-0.572296,-0.830637,-0.830637,-0.217851,-0.217851,-0.217851,-1.63089
-29.1683,0.870611,0.272429,3,15,0,32.0271,1.07766,2.80893,0.572589,0.645171,0.0294641,1.07766,2.80893,0.572589,0.645171,0.0294641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.89429,-1.89429,-0.16302,-0.16302,-0.16302,-0.472164,-0.500102,-0.500102,-0.500102,-0.932594,-0.932594,-0.932594,-0.300526,-0.300526,-0.101517,-0.101517,-0.101517,-0.101517,-0.101517,-0.101517,-2.33786,-2.33786,-2.33786,-0.108758,-0.108758,-0.108758,-0.0602213,-0.0602213,-0.0602213,-0.0602213,-0.0602213,-0.0602213,-0.0602213,-2.83969,-0.730097,-0.657514,-0.657514,-0.458013,-0.458013,-0.458013,-1.00114,-1.00114,-0.43195,-0.43195,-0.43195,-1.04766
-30.5119,0.91459,0.272429,2,3,0,32.6107,0.657338,1.93981,0.917343,0.910957,1.165,0.657338,1.93981,0.917343,0.910957,1.165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.52726,-1.52726,-0.244788,-0.244788,-0.244788,-0.831576,-0.827976,-0.827976,-0.827976,-0.574357,-0.574357,-0.574357,-0.978851,-0.978851,-0.307268,-0.307268,-0.307268,-0.307268,-0.307268,-0.307268,-1.32974,-1.32974,-1.32974,-0.305583,-0.305583,-0.305583,-0.378977,-0.378977,-0.378977,-0.378977,-0.378977,-0.378977,-0.378977,-1.15379,-0.68996,-0.696345,-0.696345,-0.824622,-0.824622,-0.824622,-0.576967,-0.576967,-0.828213,-0.828213,-0.828213,-0.574173
-27.4124,1,0.272429,3,7,0,31.4003,1.54529,1.68734,0.71838,0.385895,0.0737975,1.54529,1.68734,0.71838,0.385895,0.0737975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.766697,-0.766697,-0.624638,-0.624638,-0.624638,-0.362837,-0.27283,-0.27283,-0.27283,-1.43222,-1.43222,-1.43222,-0.206676,-0.206676,-0.321704,-0.321704,-0.321704,-0.321704,-0.321704,-0.321704,-1.29067,-1.29067,-1.29067,-0.240698,-0.240698,-0.240698,-0.181638,-0.181638,-0.181638,-0.181638,-0.181638,-0.181638,-0.181638,-1.79518,-0.54066,-0.873145,-0.873145,-0.421917,-0.421917,-0.421917,-1.0665,-1.0665,-0.549225,-0.549225,-0.549225,-0.861322
-27.917,0.985614,0.272429,2,7,0,28.2754,1.61343,2.19312,0.814115,1.91877,-0.133591,1.61343,2.19312,0.814115,1.91877,-0.133591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.02442,-1.02442,-0.444734,-0.444734,-0.444734,-0.371312,-0.857424,-0.857424,-0.857424,-0.552088,-0.552088,-0.552088,-0.160665,-0.160665,-0.224606,-0.224606,-0.224606,-0.224606,-0.224606,-0.224606,-1.60361,-1.60361,-1.60361,-0.565351,-0.565351,-0.565351,-0.0931408,-0.0931408,-0.0931408,-0.0931408,-0.0931408,-0.0931408,-0.0931408,-2.41985,-1.39083,-0.286175,-0.286175,-0.327597,-0.327597,-0.327597,-1.2753,-1.2753,-0.120828,-0.120828,-0.120828,-2.17319
